Retailer,State,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Year,Order Month
Walmart,Florida,Women's Apparel,103.0,218,2245,1257,Online,2021,2021-06
West Gear,Louisiana,Women's Apparel,103.0,163,1679,806,Online,2021,2021-07
Sports Direct,Alabama,Men's Street Footwear,10.0,700,7000,3150,Outlet,2021,2021-08
Sports Direct,Alabama,Women's Street Footwear,15.0,575,8625,3881,Outlet,2021,2021-08
Sports Direct,Alabama,Women's Street Footwear,15.0,475,7125,3206,Outlet,2021,2021-08
West Gear,Missouri,Women's Street Footwear,15.0,475,7125,2494,In-store,2021,2021-01
Sports Direct,Mississippi,Men's Athletic Footwear,20.0,450,9000,3150,Online,2021,2021-11
Sports Direct,Mississippi,Women's Street Footwear,15.0,450,6750,2700,Online,2021,2021-01
West Gear,Wisconsin,Men's Street Footwear,20.0,450,9000,2700,In-store,2021,2021-04
Foot Locker,New York,Men's Street Footwear,44.0,434,1910,993,Outlet,2020,2020-03
Foot Locker,Michigan,Women's Street Footwear,20.0,425,8500,2975,In-store,2021,2021-01
West Gear,Missouri,Women's Street Footwear,15.0,425,6375,2231,In-store,2021,2021-02
West Gear,Utah,Women's Street Footwear,20.0,425,8500,2975,In-store,2021,2021-06
Amazon,Ohio,Women's Street Footwear,20.0,425,8500,3400,Online,2021,2021-04
Foot Locker,Mississippi,Women's Street Footwear,15.0,425,6375,2550,Online,2021,2021-03
Walmart,Mississippi,Women's Street Footwear,20.0,425,8500,3400,Online,2021,2021-09
Walmart,Arkansas,Women's Apparel,20.0,425,8500,3400,Online,2021,2021-02
Walmart,Arkansas,Men's Athletic Footwear,20.0,425,8500,2975,Online,2021,2021-10
Walmart,New York,Men's Street Footwear,48.0,420,2016,1129,Outlet,2020,2020-05
Walmart,New York,Men's Street Footwear,39.0,408,1591,875,Outlet,2020,2020-04
Walmart,New York,Men's Street Footwear,46.0,403,1854,1038,Outlet,2020,2020-04
West Gear,Utah,Women's Street Footwear,20.0,400,8000,2800,In-store,2021,2021-03
West Gear,Utah,Women's Athletic Footwear,20.0,400,8000,3200,In-store,2021,2021-06
West Gear,Utah,Men's Athletic Footwear,20.0,400,8000,2800,In-store,2021,2021-10
West Gear,Utah,Men's Athletic Footwear,20.0,400,8000,2800,In-store,2021,2021-11
Walmart,Mississippi,Women's Athletic Footwear,20.0,400,8000,3200,Online,2021,2021-09
Sports Direct,Mississippi,Women's Street Footwear,15.0,400,6000,2400,Online,2021,2021-02
Foot Locker,New York,Men's Street Footwear,47.0,400,1880,978,Outlet,2020,2020-03
Foot Locker,New York,Men's Street Footwear,40.0,390,1560,811,Outlet,2020,2020-01
Foot Locker,New York,Men's Street Footwear,33.0,388,1280,666,Outlet,2020,2020-01
Foot Locker,New York,Men's Street Footwear,34.0,384,1306,679,Outlet,2020,2020-01
Foot Locker,Georgia,Men's Street Footwear,31.0,376,1166,559,Outlet,2021,2021-02
Sports Direct,Alabama,Women's Athletic Footwear,20.0,375,7500,4125,Outlet,2021,2021-08
Foot Locker,Michigan,Women's Street Footwear,20.0,375,7500,2625,In-store,2021,2021-02
West Gear,Utah,Women's Athletic Footwear,20.0,375,7500,3000,In-store,2021,2021-08
West Gear,Utah,Women's Athletic Footwear,20.0,375,7500,3000,In-store,2021,2021-11
Foot Locker,Mississippi,Women's Street Footwear,15.0,375,5625,2250,Online,2021,2021-04
West Gear,Arkansas,Men's Athletic Footwear,15.0,375,5625,1969,Online,2021,2021-11
West Gear,Arkansas,Women's Street Footwear,15.0,375,5625,2250,Online,2021,2021-01
Foot Locker,New York,Men's Street Footwear,41.0,375,1538,800,Outlet,2020,2020-03
Walmart,Texas,Women's Street Footwear,29.0,374,1085,445,Outlet,2020,2020-08
Walmart,Texas,Women's Street Footwear,29.0,374,1085,445,Outlet,2020,2020-09
Foot Locker,New York,Men's Street Footwear,33.0,372,1228,663,Outlet,2020,2020-01
Foot Locker,New York,Men's Street Footwear,44.0,366,1610,837,Outlet,2020,2020-02
Walmart,New York,Men's Street Footwear,56.0,360,2016,1250,Online,2020,2020-04
Foot Locker,New York,Men's Athletic Footwear,37.0,359,1328,452,Outlet,2020,2020-03
Walmart,New York,Women's Apparel,48.0,355,1704,511,Outlet,2020,2020-04
Foot Locker,New York,Men's Street Footwear,46.0,354,1628,1026,Online,2020,2020-01
Foot Locker,New York,Women's Apparel,47.0,352,1654,447,Outlet,2020,2020-03
Foot Locker,Missouri,Women's Street Footwear,25.0,350,8750,3063,In-store,2021,2021-03
Foot Locker,Missouri,Women's Athletic Footwear,25.0,350,8750,3500,In-store,2021,2021-06
Foot Locker,Missouri,Men's Athletic Footwear,25.0,350,8750,3063,In-store,2021,2021-10
Foot Locker,Missouri,Men's Athletic Footwear,25.0,350,8750,3063,In-store,2021,2021-11
West Gear,Utah,Women's Street Footwear,25.0,350,8750,3063,In-store,2021,2021-05
